Project,Dự án,
Status,Trạng thái,
Priority,Ưu tiên,
Page Title,Tiêu đề trang,
Date Updated,Ngày cập nhật,
Date Created,Ngày tạo,
My Pages,Trang của tôi,
Page Options,Tùy chọn trang,
Delete Page,Xóa trang,
Are you sure you want to delete this page?,Bạn có chắc chắn muốn xóa trang này không?,
Updated,Đã cập nhật,
Last updated,Cập nhật lần cuối,
Start writing here...,Bắt đầu viết ở đây...,
First Post,Bài viết đầu tiên,
Latest Post,Bài viết mới nhất,
People,Mọi người,
members,thành viên,
Search,Tìm kiếm,
Name,Tên,
Last updated,Cập nhật lần cuối,
Posts,Bài đăng,
Replies,Trả lời,
Invite,Mời,
Guest,Khách,
posts,bài đăng,
replies,trả lời,
Settings,Cài đặt,
Update Password,Cập nhật mật khẩu,
Members,Thành viên,
Invites,Lời mời,
Archive,Lưu trữ,
Admin,Quản trị viên,
Member,Thành viên,
Guest,Khách,
Remove,Xóa,
Change Role,Thay đổi vai trò,
Are you sure you want to change,Bạn có chắc chắn muốn thay đổi,
role to,vai trò thành,
Remove User,Xóa người dùng,
Are you sure you want to remove,Bạn có chắc chắn muốn xóa,
Invite People,Mời mọi người,
Invite by email,Mời qua email,
"Can create new teams and projects, invite admins and members, browse and create discussions.","Có thể tạo nhóm và dự án mới, mời quản trị viên và thành viên, duyệt và tạo thảo luận.",
"Can create projects, invite members, browse and create discussions.","Có thể tạo dự án, mời thành viên, duyệt và tạo thảo luận.",
Can browse and participate in invited teams or projects.,Có thể duyệt và tham gia vào nhóm hoặc dự án được mời.,
Invite Guest to Projects,Mời khách tham gia dự án,
Select projects,Chọn dự án,
Send invitation,Gửi lời mời,
Pending Invites,Lời mời đang chờ xử lý,
Delete invitation,Xóa lời mời,
Archived Teams,Các đội đã lưu trữ,
Unarchive,Bỏ lưu trữ,
No archived teams,Không có đội nào đã lưu trữ,
Invalid team or not permitted to access,Đội không hợp lệ hoặc không được phép truy cập,
Home,Trang chủ,
Drag up/down to reposition image,Kéo lên/xuống để định vị lại hình ảnh,
Save position,Lưu vị trí,
Change Image,Thay đổi hình ảnh,
Reposition,Định vị lại,
Click to set cover image,Nhấp để đặt ảnh bìa,
search by keyword,tìm kiếm theo từ khóa,
Uploading,Tải lên,
Upload Image,Tải lên hình ảnh,
Image search powered by,Tìm kiếm hình ảnh được hỗ trợ bởi,
Unsplash,Unsplash,
Edit Profile,Chỉnh sửa hồ sơ,
About,Giới thiệu,
Write a brief introduction of yourself...,Viết một đoạn giới thiệu ngắn về bản thân...,
No introduction,Không giới thiệu, 
Bio,Tiểu sử,
Add,Thêm,
Mark all as read,Đánh dấu tất cả là đã đọc,
Nothing to see here,Không có gì để xem ở đây,
View Discussion,Xem thảo luận,
View Task,Xem Nhiệm vụ,
Read,Đọc,
Type a keyword and hit enter to search,Nhập từ khóa và nhấn enter để tìm kiếm,
Jump to,Nhảy tới,
results for,kết quả cho,
Add Project,Thêm dự án,
task,nhiệm vụ,
tasks,nhiệm vụ,
discussion,thảo luận,
discussions,thảo luận,
Create project,Tạo mới dự án,
Visibility,Khả năng hiển thị,
Visible to everyone,Hiển thị cho mọi người,
Visible to team members (Private),Hiển thị cho các thành viên trong nhóm (Riêng tư),
Add Team,Thêm nhóm,
Team Name,Tên nhóm,
Teams,Nhóm,
Settings & Members,Cài đặt & Thành viên,
Toggle theme,Chuyển đổi sáng tối,
Log out,Đăng xuất,
My Profile,Hồ sơ của tôi,
Set cover image,Đặt ảnh bìa,
Archive,Lưu trữ,
Archive Team,Lưu trữ Nhóm,
Are you sure you want to archive the team?,Bạn có chắc chắn muốn lưu trữ nhóm không?,
Add member by name,Thêm thành viên theo tên,
Add members,Thêm thành viên,
Assign this task,Chỉ định nhiệm vụ này,
"This site is running in read-only mode. Full functionality will be restored soon.","Trang web này đang chạy ở chế độ chỉ đọc. Chức năng đầy đủ sẽ sớm được khôi phục.",
Random,Ngẫu nhiên,
Manage Guests,Quản lý khách,
(Pending),(Đang chờ),
Remove invite,Xóa lời mời,
Remove user,Xóa người dùng,
Email,Email,
Delete Invitation,Xóa lời mời,
Are you sure you want to delete this invitation?,Bạn có chắc chắn muốn xóa lời mời này không?,
Remove Guest User,Xóa người dùng khách,
Are you sure you want to remove this guest user?,Bạn có chắc chắn muốn xóa người dùng khách này không?,
right,phải,
Poll Options,Tùy chọn thăm dò,
Multiple answers,Nhiều câu trả lời,
vote,phiếu bầu,
votes,phiếu bầu,
Poll results,Kết quả thăm dò,
Anonymous poll,Cuộc thăm dò ẩn danh,
"This poll is anonymous. Once you vote, you cannot retract your vote. You are voting for","Cuộc thăm dò này là ẩn danh. Sau khi bạn bỏ phiếu, bạn không thể rút lại phiếu bầu của mình. Bạn đang bỏ phiếu cho",
Continue,Tiếp tục,
Vote for,Bỏ phiếu cho,
Stop poll,Dừng cuộc thăm dò,
"After the poll is stopped, no one will be able to vote on it. Continue?","Sau khi cuộc thăm dò dừng lại, sẽ không ai có thể bỏ phiếu cho cuộc thăm dò đó. Tiếp tục?",
Stop,Dừng,
Show results,Hiển thị kết quả,
Retract vote,Rút lại phiếu bầu,
"Are you sure you want to retract your vote?","Bạn có chắc chắn muốn rút lại phiếu bầu của mình không?",
Delete poll,Xóa cuộc thăm dò,
"Are you sure you want to delete this poll?","Bạn có chắc chắn muốn xóa cuộc thăm dò này không?",
Ended at,Kết thúc lúc,
Revert To Original,Quay lại bản gốc,
Set Colored Background,Đặt màu nền,
Change Background Color,Thay đổi màu nền,
Only PNG and JPG images are allowed,Chỉ cho phép hình ảnh PNG và JPG,
Add Members,Thêm thành viên,
View all,Xem tất cả,
Tasks,Nhiệm vụ,
Login to,Đăng nhập vào,
Password,Mật khẩu,
Login,Đăng nhập,
Login using other methods,Đăng nhập bằng các phương pháp khác,
Login via email,Đăng nhập qua email,
Login via,Đăng nhập qua,
Coming soon,Sắp ra mắt,
Setting up your team and project,Thiết lập nhóm và dự án của bạn,
Step,Bước,
Previous,Trước,
Next,Tiếp theo,
Complete Setup,Hoàn tất thiết lập,
Please select a team,Vui lòng chọn một nhóm,
Please select a project,Vui lòng chọn một dự án,
"Which team are you a part of?","Bạn là thành viên của nhóm nào?",
"Which project are you working on?","Bạn đang làm dự án nào?",
Invite people you work with,Mời những người bạn làm việc cùng,
Project Name,Tên dự án,
Product Launch,Ra mắt sản phẩm,
Private,Riêng tư,
Archived,Đã lưu trữ,
Follow,Theo dõi,
Move to another team,Di chuyển đến nhóm khác,
Merge with another project,Hợp nhất với dự án khác,
Archive this project,Lưu trữ dự án này,
Unarchive this project,Bỏ lưu trữ dự án này,
Edit Project,Chỉnh sửa dự án,
Save,Lưu,
Project title,Tiêu đề dự án,
Move project to another team,Di chuyển dự án đến nhóm khác,
Select a team,Chọn nhóm,
Team is required to move this project,Nhóm được yêu cầu di chuyển dự án này,
"This will move all discussions, tasks, and pages from the","Điều này sẽ di chuyển tất cả các cuộc thảo luận, nhiệm vụ và trang từ",
project,dự án,
"to the selected project. This change is irreversible!","đến dự án đã chọn. Thay đổi này không thể đảo ngược!",
Please select a project to merge,Vui lòng chọn dự án để hợp nhất,
Merge,Hợp nhất,
Merge with,Hợp nhất với,
Archive project,Lưu trữ dự án,
"Are you sure you want to archive this project?","Bạn có chắc chắn muốn lưu trữ dự án này không?",
Unarchive Project,Bỏ lưu trữ dự án,
"Are you sure you want to unarchive this project?","Bạn có chắc chắn muốn bỏ lưu trữ dự án này không?",
Publish,Xuất bản,
Write something...,Viết gì đó...,
Please enter title before publishing.,Vui lòng nhập tiêu đề trước khi xuất bản.,
Discard post,Hủy bài đăng,
"Are you sure you want to discard your post?","Bạn có chắc chắn muốn hủy bài đăng của mình không?",
Keep post,Giữ bài đăng,
Pages,Các trang,
Sort,Sắp xếp,
